ID,Label,Waterway,Drainage_Type,Site,Aspect,Site_type,Direction,Source,Landscape_feature,Slope_in_Degrees,Rock_Formation,Elevation,Long,Lat,Distance
75,Jayal,Takoli Gad,Seasonal,Jayal,South West,Fortalice,West,101,Isolated hill,25,Chandpur,718,78.713136,30.239311,143
76,Kanda,N/A,Intermittent,Kanda,North west,Fortalice,South,109,Ridge,15,Chandpur,1111,78.716319,30.214444,811
77,Chil,Dhansir Gad,Perennial,Chil,East,Fortalice,East,45,Isolated hill,15,Chandpur,908,78.751344,30.2422,555
78,Farasu,N/A,Intermittent,Farasu,South West,Fortalice,East,61,Ridge,15,Chandpur,1036,78.782681,30.211822,365
79,Khait,Dhungmandar Gad,Perennial,Khait,West,Fortalice,North-East,116,Isolated hill,30,Berinag,1564,78.570953,30.406614,2300
80,Gahad_2,Pamer Gad,Seasonal,Gahad_2,East,Fortalice,East,63,Ridge,15,Berinag,1430,78.592761,30.429906,883
81,Ban_1,Chandrbaga Gad,Seasonal,Ban_1,South East,Fort,West,15,Isolated hill,30,Chandpur,1102,78.619522,30.304394,790
82,Bangar,Kharkoali Gad,Intermittent,Bangar,South East,Fort,North,18,Isolated hill,45,"Chaili, Ramgarh, Amri",2665,78.886342,30.485136,1894
83,Bhillang,Bhillangana River,Perennial,Bhillang,East,Fort,East,24,Other,15,"Chaili, Ramgarh, Amri",2317,78.792153,30.532417,424
84,Rani_2,Bhillangana River,Perennial,Rani_2,East,Fortalice,East,165,Saddle,25,"Chaili, Ramgarh, Amri",2196,78.724436,30.498839,460
85,Hindao,Chanji Gad,Perennial,Hindao,West,Fortalice,North-West,95,Saddle,15,"Chaili, Ramgarh, Amri",1623,78.781553,30.428919,34
86,Sangela,Nailchami Gad,Perennial,Sangela,East,Fort,South,172,Ridge,60,Berinag,1679,78.684544,30.415517,882
87,Baid,Baidgarh Gad,Intermittent,Baid,North West,Fortalice,North,11,Saddle,35,Chandpur,965,78.613906,30.184831,240
88,Garhkot_2,Garhkot Gad,Seasonal,Garhkot_2,West,Fortalice,North-East,74,Saddle,25,Chandpur,907,78.613122,30.207878,15
89,Garhkot_3,N/A,Intermittent,Garhkot_3,North,Fortalice,North,75,Isolated hill,15,Chandpur,1670,78.584172,30.209828,34
90,Ban_2,Bangarh Gad,Seasonal,Ban_2,East,Fort,North,16,Ridge,25,Chandpur,1103,78.652289,30.217353,584
91,Bhuwala,N/A,Intermittent,Bhuwala,North East,Fortalice,North,26,Isolated hill,35,Chandpur,1774,78.615428,30.235339,546
92,Gahad_3,Palethi Gad,Seasonal,Gahad_3,West,Fortalice,North,64,Ridge,15,Chandpur,1224,78.576875,30.2358,655
93,Sil,Chandrbaga Gad,Seasonal,Sil,North west,Fortalice,East,177,Ridge,25,Chandpur,847,78.648956,30.249511,698
94,Unchra,N/A,Intermittent,Unchra,North west,Fortalice,East,191,Ridge,15,Chandpur,1061,78.605408,30.289069,658
95,Garhkot_4,N/A,Intermittent,Garhkot_4,East,Fortalice,North,76,Ridge,25,"Damta, Simala, Chakrata, Saknidhar",1780,78.675147,30.005728,614
96,Rani_1,AsGad,Intermittent,Rani_1,South East,Fort,South,164,Ridge,25,Chandpur,963,78.713808,30.068142,538
97,Taidi,Marora Gad,Seasonal,Taidi,East,Fortalice,North,183,Other,15,Chandpur,654,78.644344,30.066117,373
98,Bharpur,Bharpur Gad,Seasonal,Bharpur,South West,Fort,North,22,Saddle,15,"Damta, Simala, Chakrata, Saknidhar",695,78.575528,30.108467,545
99,Umrasu,Ganga River,Perennial,Umrasu,East,Fortalice,West,189,Isolated hill,35,"Damta, Simala, Chakrata, Saknidhar",697,78.589108,30.117053,46
100,Himri,Himri Gad,Perennial,Himri,South,Fort,South,94,Ridge,15,Chandpur,1327,78.492717,30.237817,677
101,Kuili,Kuili Gad,Seasonal,Kuili,North west,Fort,North,126,Isolated hill,15,Chandpur,1087,78.471603,30.249019,116
102,Kathli,N/A,Seasonal,Kathli,East,Fort,West,112,Ridge,15,Nagthat,2329,78.471758,30.249158,440
103,Madwal,N/A,Intermittent,Madwal,North west,Fortalice,South,136,Other,45,Chandpur,869,78.619747,30.143953,128
104,Ratan,N/A,Intermittent,Ratan,West,Fortalice,North,166,Isolated hill,25,"Damta, Simala, Chakrata, Saknidhar",1078,78.388169,30.197239,476
105,Badalpur,Dhobighat Gad,Seasonal,Badalpur,North,Fort,South,7,Ridge,25,"Damta, Simala, Chakrata, Saknidhar",1978,78.765947,29.829625,882
106,Julam,Katera Gad,Seasonal,Julam,North East,Fortalice,South,104,Saddle,30,"Chaili, Ramgarh, Amri",1343,78.9204,29.685069,1125
107,Paino,N/A,Intermittent,Paino,South West,Fortalice,East,157,Other,40,"Blaini,Krol",1035,78.883906,29.704269,1299
108,Badhan,N/A,intermittent,Badhan,East,Fort,North-West,8,Ridge,35,"Jutogh, Almora",2346,79.524294,30.012672,659
