x,y,area,mounded,volume,moud_vol,elev
593358.35,4076803.7,38125,10125,41407.5,26417.5,2.61
593367.67,4079678.1,126325,3125,,11778.5,3.77
593375.8,4065240.9,54550,275,7628.5,475.175,1.73
593424.95,4109203.3,11850,,, , 
593456.89,4075905.3,46550,1600,,3377,2.11
593480.69,4123464.9,180050,900,,3722.25,4.14
593542.93,4086144.7,118075,23575,331225,146902.5,6.23
593550.49,4061821.6,74450,2325,4861.25,3832.25,1.65
593611.38,4071983.8,203925,41750,201802.5,113632.5,2.72
593612.35,4123853.9,138075,8325,162610,36940,4.44
593632.4,4086895.9,105575,43250,567350,342075,7.91
593642.69,4060636.7,137375,18925,88387.5,94255,4.98
593671.6,4064532.2,48600,,7348.25, , 
593689.85,4056841.9,180175,3175,,11889.25,3.74
593749.32,4110643,56350,10500,29595,16867.75,1.61
593857.89,4099098.3,137050,600,,2502.75,4.17
593896.83,4104646.1,170950,23425,36730,61865,2.64
593904.95,4072353.3,46850,,, , 
593924.29,4112594.4,97825,16400,54657.5,29637.5,1.81
593927.19,4057698.7,108350,,, , 
593930.55,4071277.4,40425,,, , 
593933.67,4074051.8,97025,2100,11790.75,2879.25,1.37
593940.59,4041735.9,101275,1675,44985,4901.75,2.93
593954.95,4106408.3,8000,,, , 
593989.76,4113938.8,430100,215750,4117500,351575,16.3
594049.19,4124458.6,205425,175,,657.475,3.76
594055.41,4099373.3,128400,10575,18224.75,37985,3.59
594069.95,4063108.3,152550,5275,,10777.25,2.04
594120.06,4063120.6,152550,5350,,11111.25,2.08
594138.55,4085707.3,158850,150,,752.525,5.02
594145.21,4093297.5,338700,7300,,84045,11.5
594146.09,4070204.7,103625,,, , 
594149.57,4065914,17575,,2810.75, , 
594158.48,4070720.1,11600,,, , 
594177.81,4115175.3,120025,,, , 
594210.32,4099090.9,110825,5475,6557.5,27402.5,5.01
594227.12,4119220.2,28075,,, , 
594229.95,4072223.3,9600,,, , 
594232.36,4119865.2,140625,26250,88050,71247.5,2.72
594234.73,4097590.6,60250,5500,66452.5,13667.25,2.48
594258.07,4099929.2,305000,44250,247570,152882.5,3.45
594274.95,4088713.3,7750,700,601.725,2814.75,4.02
594304.95,4070153.3,6475,,2315.8, , 
594335.19,4020280.8,222300,88250,508150,397300,4.5
594344.59,4118650,88275,11400,165047.5,50645,4.44
594411.93,4065252.5,30075,2425,8350.25,3609,1.49
594444.03,4073367.6,116550,48000,211090,195150,4.07
594468.73,4102167,153525,19550,129557.5,66697.5,3.41
594494.06,4077137.1,299925,15775,,58992.5,3.74
594496.08,4080813.8,24850,,, , 
594509.03,4090686.7,157075,1850,175395,16241.75,8.78
594515.74,4110034.1,154150,12000,30212.5,21672.5,1.81
594523.21,4068441.5,47150,6525,24632.75,12348,1.89
594539.95,4117953.3,6800,25,953.3,62.5325,2.5
594540.42,4091510.9,334950,4975,,47432.5,9.53
594546.57,4060765.2,14825,750,10530,2218.4,2.96
594579.95,4071668.3,6550,,, , 
594635.84,4067847.5,45750,,, , 
